"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 26: 09,144.09,0,DAY,14.58
2026-01-10 06: 26: 09,144.09,0,DAY,1.27
2026-01-10 06: 26: 12,142.5,2797,DAY,0.41
2026-01-10 06: 26: 12,143.15,2159,DAY,3.27
2026-01-10 06: 26: 12,143.12,1180,DAY,7.32
2026-01-10 06: 26: 12,143.14,278,DAY,5.26
2026-01-10 06: 26: 13,144.48,3345,DAY,9.74
2026-01-10 06: 26: 13,144.54,577,DAY,8.52
2026-01-10 06: 26: 13,144.69,0,DAY,4.55
2026-01-10 06: 26: 13,144.8,2,DAY,9.88
2026-01-10 06: 26: 13,144.9,0,DAY,7.71
2026-01-10 06: 26: 15,145.07,105,DAY,0.58
2026-01-10 06: 26: 16,146.55,680,DAY,1.22
2026-01-10 06: 26: 16,144.58,443,DAY,7.89
2026-01-10 06: 26: 16,145.55,0,DAY,9.47
2026-01-10 06: 26: 16,145.7,0,DAY,8.91
2026-01-10 06: 26: 16,145.79,0,DAY,7.77
2026-01-10 06: 26: 16,145.97,843,DAY,10.24
2026-01-10 06: 26: 16,145.97,0,DAY,6.96
2026-01-10 06: 26: 16,145.99,19,DAY,12.87
2026-01-10 06: 26: 17,145.99,0,DAY,12.72
2026-01-10 06: 26: 17,145.99,0,DAY,6.47
2026-01-10 06: 26: 17,145.85,40,DAY,11.55
2026-01-10 06: 26: 17,145.89,0,DAY,7.55
2026-01-10 06: 26: 17,146.06,0,DAY,11.63
2026-01-10 06: 26: 17,146.07,0,DAY,8.05
2026-01-10 06: 26: 17,146.09,0,DAY,12.34
2026-01-10 06: 26: 20,146.04,20,DAY,0.38
2026-01-10 06: 26: 21,145.92,16118,DAY,1.01
2026-01-10 06: 26: 22,150.8,68928,DAY,1.19
2026-01-10 06: 26: 22,154.48,35066,DAY,1.47
2026-01-10 06: 26: 24,157.51,56830,DAY,0.81
2026-01-10 06: 26: 24,164.35,46186,DAY,1.33
2026-01-10 06: 26: 25,154.0,130664,DAY,1.94
2026-01-10 06: 26: 26,91.34,178069,DAY,1.62
2026-01-10 06: 26: 26,101.14,10250,DAY,1.75
2026-01-10 06: 26: 26,106.52,6266,DAY,4.8
2026-01-10 06: 26: 26,107.86,2445,DAY,4.57
2026-01-10 06: 26: 27,109.53,5686,DAY,4.92
2026-01-10 06: 26: 27,110.24,1991,DAY,4.28
2026-01-10 06: 26: 27,111.23,2307,DAY,4.08
2026-01-10 06: 26: 28,112.11,7903,DAY,3.11
2026-01-10 06: 26: 28,111.49,14589,DAY,5.49
2026-01-10 06: 26: 28,111.75,5493,DAY,5.49
2026-01-10 06: 26: 28,112.62,10417,DAY,5.67
2026-01-10 06: 26: 28,113.03,6888,DAY,2.67
2026-01-10 06: 26: 29,113.02,12449,DAY,3.88
2026-01-10 06: 26: 29,113.53,6929,DAY,3.9
2026-01-10 06: 26: 29,114.32,9929,DAY,4.58
2026-01-10 06: 26: 29,114.69,9360,DAY,4.71
2026-01-10 06: 26: 30,114.73,6755,DAY,4.25
2026-01-10 06: 26: 30,114.78,7321,DAY,3.72
2026-01-10 06: 26: 30,115.12,4134,DAY,4.46
2026-01-10 06: 26: 30,115.46,7621,DAY,5.94
2026-01-10 06: 26: 30,115.38,2246,DAY,6.36
2026-01-10 06: 26: 31,115.52,3292,DAY,2.62
2026-01-10 06: 26: 31,116.06,6081,DAY,4.28
2026-01-10 06: 26: 33,116.43,7240,DAY,0.52
2026-01-10 06: 26: 35,117.13,8363,DAY,0.53
2026-01-10 06: 26: 36,113.3,10013,DAY,0.86
2026-01-10 06: 26: 37,117.81,17570,DAY,1.17
2026-01-10 06: 26: 37,118.55,7394,DAY,1.6
2026-01-10 06: 26: 38,113.57,15520,DAY,1.32
2026-01-10 06: 26: 39,113.2,8827,DAY,4.03
2026-01-10 06: 26: 39,113.73,7122,DAY,4.11
2026-01-10 06: 26: 39,113.87,6271,DAY,1.33
2026-01-10 06: 26: 41,114.47,8438,DAY,0.83
2026-01-10 06: 26: 41,113.54,7516,DAY,1.49
2026-01-10 06: 26: 42,113.2,9517,DAY,3.87
2026-01-10 06: 26: 42,113.05,8461,DAY,3.92
2026-01-10 06: 26: 42,112.41,7650,DAY,4.32
2026-01-10 06: 26: 42,111.99,6971,DAY,6.16
2026-01-10 06: 26: 42,112.06,4948,DAY,10.68
2026-01-10 06: 26: 43,112.06,0,DAY,6.11
